category,cluster_color_hex,cluster_color_en,ratio
Entertainment,#B0BD90,cluster_18,0.0672922885050581
Entertainment,#AFD5DE,cluster_0,0.06323792475161921
Entertainment,#FADAB6,cluster_20,0.04241671321808944
Entertainment,#DD7C16,cluster_19,0.02983297109456718
Entertainment,#EF806C,cluster_2,0.029197760607991126
Entertainment,#FFD300,cluster_13,0.020057351080436523
Entertainment,#58811D,cluster_1,0.016140197613662643
Entertainment,#4184EF,cluster_22,0.014370193087827509
Entertainment,#00E2F3,cluster_11,0.011135301222905071
Entertainment,#6F0C89,cluster_14,0.008279841973221217
Entertainment,#24D536,cluster_23,0.007194234021684886
Entertainment,#E97ED5,cluster_16,0.006116307884887395
Entertainment,#8F45D8,cluster_5,0.006054352823197162
Entertainment,#90F118,cluster_9,0.005737304307174116
Entertainment,#E3148C,cluster_12,0.0057043194936213125
Entertainment,#43CCBC,cluster_6,0.0030079207988556148
Entertainment,#0000B5,cluster_7,0.0015583357981709418
Entertainment,#00FC8C,cluster_17,0.00012826178970858497
Entertainment,#FF00FF,cluster_15,1.7263652804038596e-05
Food-Drink,#F7F5EB,cluster_4,0.26541653381543945
Food-Drink,#004C00,cluster_21,0.10796591871244333
Food-Drink,#B0BD90,cluster_18,0.10328157818025416
Food-Drink,#AD1E19,cluster_8,0.09861560271638167
Food-Drink,#6D808C,cluster_3,0.0923939157776777
Food-Drink,#AFD5DE,cluster_0,0.0821953396628299
Food-Drink,#215C6D,cluster_10,0.053808520924152344
Food-Drink,#FADAB6,cluster_20,0.04033082917273068
Food-Drink,#DD7C16,cluster_19,0.03699573672868243
Food-Drink,#EF806C,cluster_2,0.035333361254048436
Food-Drink,#58811D,cluster_1,0.02372037770942702
Food-Drink,#FFD300,cluster_13,0.01557224067027782
Food-Drink,#E3148C,cluster_12,0.010420036650098996
Food-Drink,#43CCBC,cluster_6,0.006452468687162285
Food-Drink,#4184EF,cluster_22,0.006105186632084594
Food-Drink,#6F0C89,cluster_14,0.005347721667662308
Food-Drink,#90F118,cluster_9,0.004074628188592881
Food-Drink,#00E2F3,cluster_11,0.0034700865923867293
Food-Drink,#24D536,cluster_23,0.0033064750317683936
Food-Drink,#8F45D8,cluster_5,0.0025689897560163986
Food-Drink,#E97ED5,cluster_16,0.002529832736029459
Food-Drink,#0000B5,cluster_7,4.3832485060006955e-05
Food-Drink,#FF00FF,cluster_15,4.138579041371956e-05
Food-Drink,#00FC8C,cluster_17,9.40045837784104e-06
Graphic-Novels-Anime-Manga,#004C00,cluster_21,0.17874178711975605
Graphic-Novels-Anime-Manga,#F7F5EB,cluster_4,0.1732427862916886
Graphic-Novels-Anime-Manga,#6D808C,cluster_3,0.1222831315075925
Graphic-Novels-Anime-Manga,#AD1E19,cluster_8,0.0982092051242671
Graphic-Novels-Anime-Manga,#215C6D,cluster_10,0.09003534516974523
Graphic-Novels-Anime-Manga,#B0BD90,cluster_18,0.08790365706220428
Graphic-Novels-Anime-Manga,#AFD5DE,cluster_0,0.05882402073794854
Graphic-Novels-Anime-Manga,#FADAB6,cluster_20,0.03787182998037606
Graphic-Novels-Anime-Manga,#EF806C,cluster_2,0.03576409537739588
Graphic-Novels-Anime-Manga,#DD7C16,cluster_19,0.02958919269400325
Graphic-Novels-Anime-Manga,#58811D,cluster_1,0.02250277890812036
Graphic-Novels-Anime-Manga,#FFD300,cluster_13,0.012408211842054468
Graphic-Novels-Anime-Manga,#4184EF,cluster_22,0.012056638189326898
Graphic-Novels-Anime-Manga,#6F0C89,cluster_14,0.007930971622744231
Graphic-Novels-Anime-Manga,#E3148C,cluster_12,0.006607067661964266
Graphic-Novels-Anime-Manga,#00E2F3,cluster_11,0.005968726701114668
Graphic-Novels-Anime-Manga,#8F45D8,cluster_5,0.005108884831253597
Graphic-Novels-Anime-Manga,#90F118,cluster_9,0.004146052092871268
Graphic-Novels-Anime-Manga,#43CCBC,cluster_6,0.004089526729355878
Graphic-Novels-Anime-Manga,#24D536,cluster_23,0.003398126148928623
Graphic-Novels-Anime-Manga,#E97ED5,cluster_16,0.0029728619879321187
Graphic-Novels-Anime-Manga,#0000B5,cluster_7,0.0003398269276996848
Graphic-Novels-Anime-Manga,#00FC8C,cluster_17,5.27529165743193e-06
Graphic-Novels-Anime-Manga,#FF00FF,cluster_15,0.0
Health,#F7F5EB,cluster_4,0.3587166315600955
Health,#6D808C,cluster_3,0.08088300844914924
Health,#AFD5DE,cluster_0,0.07465420157059123
Health,#AD1E19,cluster_8,0.07251126765648401
Health,#B0BD90,cluster_18,0.07046526930419593
Health,#004C00,cluster_21,0.06831495445828197
Health,#215C6D,cluster_10,0.05854426348353026
Health,#FADAB6,cluster_20,0.043273399457357496
Health,#EF806C,cluster_2,0.03551399212265993
Health,#DD7C16,cluster_19,0.03310008270800463
Health,#FFD300,cluster_13,0.017035900314959954
Health,#4184EF,cluster_22,0.015961650300514923
Health,#58811D,cluster_1,0.014680571977199432
Health,#43CCBC,cluster_6,0.011463905119419356
Health,#6F0C89,cluster_14,0.009366889117609896
Health,#E3148C,cluster_12,0.008936625403303786
Health,#00E2F3,cluster_11,0.0073018605331772145
Health,#8F45D8,cluster_5,0.005653590991118513
Health,#90F118,cluster_9,0.005623408252123052
Health,#E97ED5,cluster_16,0.0035753112008184928
Health,#24D536,cluster_23,0.0031745306591690154
Health,#0000B5,cluster_7,0.001232270897879099
Health,#FF00FF,cluster_15,9.266719328804007e-06
Health,#00FC8C,cluster_17,7.147743027140945e-06
History-Archaeology,#F7F5EB,cluster_4,0.24628710950912638
History-Archaeology,#004C00,cluster_21,0.18274681254958103
History-Archaeology,#6D808C,cluster_3,0.11326561427070767
History-Archaeology,#AD1E19,cluster_8,0.10010167742921366
History-Archaeology,#B0BD90,cluster_18,0.08800466994113575
History-Archaeology,#215C6D,cluster_10,0.06921404601862585
History-Archaeology,#AFD5DE,cluster_0,0.0654096970514468
History-Archaeology,#FADAB6,cluster_20,0.03794297470928222
History-Archaeology,#DD7C16,cluster_19,0.027435043844198554
History-Archaeology,#EF806C,cluster_2,0.02014035530820451
History-Archaeology,#58811D,cluster_1,0.019471839653746763
History-Archaeology,#FFD300,cluster_13,0.009012240774405626
History-Archaeology,#4184EF,cluster_22,0.005042350403209519
History-Archaeology,#43CCBC,cluster_6,0.004982363024422918
History-Archaeology,#00E2F3,cluster_11,0.002636966103239029
History-Archaeology,#6F0C89,cluster_14,0.0024409649989468687
History-Archaeology,#8F45D8,cluster_5,0.0020636805406299796
History-Archaeology,#E3148C,cluster_12,0.0014532882214315756
History-Archaeology,#24D536,cluster_23,0.0009993424125567718
History-Archaeology,#90F118,cluster_9,0.0007753806553557127
History-Archaeology,#E97ED5,cluster_16,0.0003186899911770316
History-Archaeology,#0000B5,cluster_7,0.0002424178365204127
History-Archaeology,#00FC8C,cluster_17,1.2382574859655201e-05
History-Archaeology,#FF00FF,cluster_15,9.217797662274344e-08
Home-Garden,#F7F5EB,cluster_4,0.2726038554470114
Home-Garden,#B0BD90,cluster_18,0.10765788614310888
Home-Garden,#004C00,cluster_21,0.10307334385704492
Home-Garden,#6D808C,cluster_3,0.10124355502723846
Home-Garden,#AFD5DE,cluster_0,0.08653839532489459
